"Waterbody","Sampling_Date","Latitude","Longitude","Taxon","TLEN","RWT","Sex","As_ug_ww","System_Type","Data_source","As_ug_ww_RAND"
"Agnew Lake","2014-09-02",46.35528,-81.76083,"NP",636,1656,"",0.059,"Lake","MECP",0.059
"Agnew Lake","2014-09-02",46.35528,-81.76083,"WALL",453,1056,"",0.127,"Lake","MECP",0.127
"Albany River","2016-09-18",52.22556,-81.67139,"CISCO",331,350,"F",4.734,"River","MECP",4.734
"Albany River","2016-09-18",52.22556,-81.67139,"CISCO",381,440,"F",2.07,"River","MECP",2.07
"Albany River","2016-09-17",52.22556,-81.67139,"CISCO",358,445,"F",2.777,"River","MECP",2.777
"Albany River","2016-09-18",52.22556,-81.67139,"LNS",240,140,"M",0.583,"River","MECP",0.583
"Albany River","2016-09-17",52.22556,-81.67139,"LNS",477,400,"F",0.22,"River","MECP",0.22
"Albany River","2015-08-04",52.22556,-81.67139,"LNS",325,400,"M",0.255,"River","MECP",0.255
"Albany River","2015-08-03",52.22556,-81.67139,"LNS",378,425,"F",0.62,"River","MECP",0.62
"Albany River","2016-09-18",52.22556,-81.67139,"LNS",365,510,"M",0.631,"River","MECP",0.631
"Albany River","2015-08-04",52.22556,-81.67139,"LNS",430,750,"F",0.125,"River","MECP",0.125
"Albany River","2015-08-03",52.22556,-81.67139,"LSTUR",490,500,"M",0.261,"River","MECP",0.261
"Albany River","2015-08-05",52.22556,-81.67139,"LSTUR",745,1950,"M",0.366,"River","MECP",0.366
"Albany River","2015-08-05",52.22556,-81.67139,"LSTUR",960,6500,"M",0.476,"River","MECP",0.476
"Albany River","2016-09-17",52.22556,-81.67139,"LWF",196,50,"M",0.27,"River","MECP",0.27
"Albany River","2016-09-17",52.22556,-81.67139,"LWF",294,185,"F",2.351,"River","MECP",2.351
"Albany River","2016-08-05",52.25798,-81.69714,"LWF",335,320,"F",1.17201,"River","Lescord",1.17201
"Albany River","2016-08-04",52.25798,-81.69714,"LWF",335,340,"M",1.56671,"River","Lescord",1.56671
"Albany River","2016-08-04",52.25798,-81.69714,"LWF",340,350,"F",1.53391,"River","Lescord",1.53391
"Albany River","2016-08-05",52.25798,-81.69714,"LWF",355,400,"M",1.44005,"River","Lescord",1.44005
"Albany River","2016-08-05",52.25798,-81.69714,"LWF",360,450,"M",1.5715,"River","Lescord",1.5715
"Albany River","2016-08-04",52.25798,-81.69714,"LWF",370,480,"M",1.77069,"River","Lescord",1.77069
"Albany River","2016-08-03",52.25798,-81.69714,"LWF",425,540,"M",2.13728,"River","Lescord",2.13728
"Albany River","2016-08-05",52.25798,-81.69714,"LWF",395,600,"F",2.16641,"River","Lescord",2.16641
